"Columns","Field Name (Length)","Reference"
"1 thru 21","Fields as on Primary Records",""
"22","Continuation Record No. (1)","5.16"
"23","Application Type (1)","5.91"
"24 thru 92","Notes (69)","5.61"
"93 thru 123","Reserved (Expansion) (31)",""
"124 thru 128","File Record No. (5)","5.31"
"129 thru 132","Cycle Data (4)","5.32"
