1 continue number,2 area code,3 NDB idertifier,4 NDB latitude,5 NDB longitude,6 airport:,7 VOR name
0,USA,SG  ,N44235467,W088075793,KGRB,DEPRE                         
0,USA,GR  ,N40522240,W098185300,KGRI,SANCY                         
0,USA,GR  ,N42534431,W085224312,KGRR,KNOBS                         
0,USA,GW  ,N41182983,W084563869,KGWB,SHENK                         
0,USA,GW  ,N33353143,W090050387,KGWO,TEOCK                         
0,USA,HP  ,N30362286,W090251622,KHDC,ANGER                         
0,USA,JH  ,N32244697,W090154096,KHKS,BRENZ                         
0,USA,HK  ,N35471149,W081181911,KHKY,TAWBA                         
0,USA,HO  ,N44263793,W098201244,KHON,BEADY                         
0,USA,FK  ,N36441321,W087244987,KHOP,AIRBE                         
0,USA,HO  ,N34252121,W093112283,KHOT,HOSSY                         
0,USA,HR  ,N26181860,W097392706,KHRL,SEBAS                         
0,USA,HS  ,N30270484,W089271985,KHSA,HANCO                         
0,USA,HU  ,N39231614,W087235180,KHUF,YINNO                         
0,USA,HU  ,N38072503,W097553678,KHUT,SALTT                         
0,USA,RU  ,N29573111,W097565641,KHYI,GARYS                         
0,USA,HY  ,N38460922,W099150461,KHYS,NETTE                         
0,USA,IA  ,N43063280,W078501788,KIAG,KATHI                         
0,USA,IC  ,N37344148,W097272109,KICT,PICHE                         
0,USA,IK  ,N41010417,W087541357,KIKK,LUKOW                         
0,USA,IL  ,N31012674,W097422925,KILE,IRESH                         
0,USA,IL  ,N39345254,W075365019,KILG,HADIN                         
0,USA,GM  ,N34201427,W077484242,KILM,WILZE                         
0,USA,IL  ,N34112892,W077515873,KILM,AIRLI                         
0,USA,HW  ,N39211239,W083523285,KILN,CUBLA                         
0,USA,IL  ,N39293492,W083441745,KILN,AIRBO                         
0,USA,IN  ,N36041553,W080100074,KINT,REENO                         
0,USA,IS  ,N35143797,W077415419,KISO,STALS                         
0,USA,IT  ,N42254820,W076220464,KITH,VRNAH                         
0,USA,JA  ,N32244501,W090071034,KJAN,ALLEN                         
0,USA,JA  ,N30275415,W081480593,KJAX,DINNS                         
0,USA,JE  ,N38325297,W092041794,KJEF,ALGOA                         
0,USA,JL  ,N37121104,W094333084,KJLN,LUNNS                         
0,USA,JV  ,N38282628,W085441401,KJVY,CATCH                         
0,USA,LA  ,N40253521,W087030749,KLAF,EARLE                         
0,USA,LD  ,N33394568,W101432319,KLBB,LUBBI                         
0,USA,LB  ,N41040599,W100342075,KLBF,PANBE                         
0,USA,LB  ,N36575239,W100572260,KLBL,PANCK                         
0,USA,JB  ,N34324495,W079081865,KLBT,JIGEL                         
0,USA,LC  ,N43321193,W071321331,KLCI,BLNAP                         
0,USA,DD  ,N39443469,W083011299,KLCK,COBBS                         
0,USA,LC  ,N39525186,W082500965,KLCK,PICKL                         
0,USA,LE  ,N43574413,W070201663,KLEW,LEWIE                         
0,USA,GN  ,N38072844,W084302501,KLEX,BRIDL                         
0,USA,LE  ,N37591336,W084393762,KLEX,BLAYD                         
0,USA,LF  ,N31130796,W094493058,KLFK,FLUFY                         
0,USA,LF  ,N30172146,W091542841,KLFT,LAFFS                         
0,USA,LI  ,N34400854,W092181943,KLIT,LASKY                         
0,USA,LN  ,N40444987,W096454475,KLNK,POTTS                         
0,USA,LS  ,N44001457,W091153840,KLSE,MINDI                         
0,USA,LW  ,N37465618,W080280681,KLWB,BUSHI                         
0,USA,JZ  ,N38544915,W095091332,KLWC,NEWBN                         
0,USA,LY  ,N37154472,W079143527,KLYH,BOJAR                         
0,USA,TX  ,N34011175,W083514621,KLZU,GWNET                         
0,USA,MA  ,N31591715,W102193055,KMAF,FARLY                         
0,USA,MB  ,N44161475,W086083389,KMBL,JEPOT                         
0,USA,MB  ,N43274139,W084104740,KMBS,OLSTE                         
0,USA,MC  ,N31151623,W090303750,KMCB,FERNI                         
0,USA,MC  ,N43030903,W093193992,KMCW,SURFF                         
0,USA,MD  ,N37521286,W089144395,KMDH,CABBI                         
0,USA,MD  ,N40144700,W076540250,KMDT,ENOLA                         
0,USA,ME  ,N34435949,W079263734,KMEB,MAXTN                         
0,USA,MF  ,N40455878,W082264254,KMFD,MANNS                         
0,USA,MF  ,N26151381,W098183778,KMFE,MISSI                         
0,USA,MG  ,N32184182,W086303828,KMGM,MARRA                         
0,USA,MJ  ,N42515101,W071314383,KMHT,FITZY                         
0,USA,JN  ,N40105132,W085191554,KMIE,BALLL                         
0,USA,ML  ,N32271482,W092061554,KMLU,SABAR                         
0,USA,GB  ,N44300743,W095543950,KMML,GARNO                         
0,USA,TN  ,N45034102,W087414692,KMNM,TRIBE                         
0,USA,MR  ,N36371465,W121561887,KMRY,MUNSO                         
0,USA,MS  ,N44511483,W074545679,KMSS,MISSE                         
0,USA,UV  ,N36352434,W079550288,KMTV,BALES                         
0,USA,MT  ,N44115900,W087420800,KMTW,MAWOC                         
0,USA,MW  ,N37502070,W088581495,KMWA,JONNY                         
0,USA,MW  ,N47065656,W119162823,KMWH,PELLY                         
0,USA,MW  ,N39344147,W084192471,KMWO,ONIDA                         
0,USA,OA  ,N34450187,W077421612,KOAJ,ELLAS                         
